,train_acc,test_acc,train_loss,test_loss
epoch_0,0.564938485622406,0.6175000071525574,0.6581988735761642,0.6258551549911499
epoch_1,0.6496624946594238,0.6915000081062317,0.5995969879865647,0.5650798048973084
epoch_2,0.6924974918365479,0.7335000038146973,0.5581071493330002,0.5307625036239624
epoch_3,0.713612973690033,0.7455000281333923,0.5318747812399864,0.506546067237854
epoch_4,0.7273849844932556,0.753000020980835,0.5137900907077789,0.48679471635818483
epoch_5,0.7363715171813965,0.7599999904632568,0.5015540323209763,0.4817827401161194
epoch_6,0.7428209781646729,0.7680000066757202,0.49215854819607735,0.468478280544281
epoch_7,0.7475889921188354,0.7764999866485596,0.4844180839707851,0.46024440813064577
epoch_8,0.7524145245552063,0.777999997138977,0.4782399450120926,0.4510258231163025
epoch_9,0.7558969855308533,0.7889999747276306,0.4726468267362118,0.4474970238208771
epoch_10,0.7588099837303162,0.784500002861023,0.46810417462444304,0.44792183232307436
epoch_11,0.7617679834365845,0.7870000004768372,0.46355938949632647,0.4401093034744263
epoch_12,0.7647085189819336,0.7960000038146973,0.45965487513899805,0.43010476875305176
epoch_13,0.7676609754562378,0.7910000085830688,0.4553747422027588,0.4352631480693817
epoch_14,0.7700185179710388,0.7985000014305115,0.45172945995736125,0.4301084654331207
epoch_15,0.7722139954566956,0.8025000095367432,0.44883411943173407,0.42659303998947146
epoch_16,0.77435702085495,0.7914999723434448,0.44547661183524134,0.4220377631187439
epoch_17,0.7761899828910828,0.796500027179718,0.44269760494804383,0.4275027298927307
epoch_18,0.7779139876365662,0.7994999885559082,0.43978123434591293,0.4202592449188232
epoch_19,0.779429018497467,0.8050000071525574,0.4376846904091835,0.4185887584686279
epoch_20,0.7812305092811584,0.8025000095367432,0.4348670380268097,0.4165979566574097
epoch_21,0.7820069789886475,0.8040000200271606,0.4332385321483612,0.41390248560905457
epoch_22,0.7837154865264893,0.8080000281333923,0.43048009835481643,0.40890015816688535
epoch_23,0.7848960161209106,0.8059999942779541,0.4293285759813786,0.41136721181869507
epoch_24,0.7853295207023621,0.8080000281333923,0.42814821452140805,0.41153569078445434
epoch_25,0.7867770195007324,0.8159999847412109,0.4263015320708752,0.4060415825843811
epoch_26,0.7877410054206848,0.8109999895095825,0.4252401809325218,0.40241318702697754
epoch_27,0.7880874872207642,0.8080000281333923,0.42390662982690336,0.40727655911445615
epoch_28,0.7891225218772888,0.8029999732971191,0.42253541537880895,0.4110967540740967
epoch_29,0.7894369959831238,0.8144999742507935,0.4220593623738289,0.40028290343284606
epoch_30,0.7902870178222656,0.8065000176429749,0.42081843201851843,0.40605951261520384
epoch_31,0.7906420230865479,0.8065000176429749,0.41985688547587396,0.4042249448299408
epoch_32,0.7913525104522705,0.8149999976158142,0.4190445351169109,0.4009474401473999
epoch_33,0.7917839884757996,0.8029999732971191,0.41832213135027885,0.4030007977485657
epoch_34,0.7924020290374756,0.8069999814033508,0.41725824153912067,0.39920224809646604
epoch_35,0.7932075262069702,0.8109999895095825,0.41633949861872194,0.3950272591114044
epoch_36,0.7937585115432739,0.8040000200271606,0.41563425289797784,0.4038492841720581
epoch_37,0.7942445278167725,0.8080000281333923,0.41488743131327627,0.3983925342559814
epoch_38,0.7945814728736877,0.8125,0.41427838122725485,0.399498975276947
epoch_39,0.7952539920806885,0.8134999871253967,0.4133202422668934,0.3939160373210907
epoch_40,0.7951949834823608,0.8109999895095825,0.4128643573539257,0.39648357915878296
epoch_41,0.795946478843689,0.8065000176429749,0.4119640125105381,0.3964303302764893
epoch_42,0.796317994594574,0.8100000023841858,0.41138357450032237,0.39294629216194155
epoch_43,0.7969495058059692,0.8050000071525574,0.4108942437536717,0.3936910543441772
epoch_44,0.7970455288887024,0.8195000290870667,0.41020442174065114,0.3859763255119324
epoch_45,0.7971714735031128,0.8119999766349792,0.41022889261031154,0.38774125671386717
epoch_46,0.7978690266609192,0.8034999966621399,0.4090810503898859,0.39707190561294553
epoch_47,0.7981234788894653,0.8044999837875366,0.4087947358465195,0.39227760648727417
