,train_acc,test_acc,train_loss,test_loss
epoch_0,0.5233564972877502,0.5419999957084656,0.6917521393728256,0.6898912839889526
epoch_1,0.5287150144577026,0.5435000061988831,0.690878598572731,0.6892031698226929
epoch_2,0.5341179966926575,0.5440000295639038,0.6900219620418548,0.6881474533081055
epoch_3,0.5367680191993713,0.5435000061988831,0.6893975728626252,0.6879476938247681
epoch_4,0.5388180017471313,0.5435000061988831,0.6888935800085068,0.6878311643600464
epoch_5,0.5403670072555542,0.5400000214576721,0.6885625564489365,0.6884892883300782
epoch_6,0.5414965152740479,0.5529999732971191,0.6882050019140243,0.6858498802185059
epoch_7,0.5425609946250916,0.5529999732971191,0.6879062651290894,0.6846732997894287
epoch_8,0.5433135032653809,0.546500027179718,0.6876963016014099,0.6861546063423156
epoch_9,0.5446059703826904,0.550000011920929,0.6874195825109481,0.684992154598236
epoch_10,0.5454794764518738,0.5580000281333923,0.6871731070985794,0.685471251964569
epoch_11,0.5460805296897888,0.5485000014305115,0.6869775599174499,0.6845310287475586
epoch_12,0.5468605160713196,0.546999990940094,0.6867665237922669,0.6851450662612915
epoch_13,0.5474569797515869,0.5550000071525574,0.6865897671823502,0.6846997995376587
epoch_14,0.5480545163154602,0.5544999837875366,0.6864824001197815,0.6846765074729919
epoch_15,0.5484684705734253,0.5485000014305115,0.6863071563739777,0.6861912417411804
epoch_16,0.5484074950218201,0.5600000023841858,0.6861598205490113,0.6854903311729431
epoch_17,0.5489885210990906,0.5475000143051147,0.6860446661567688,0.6853661623001098
epoch_18,0.5496324896812439,0.5569999814033508,0.6859355880823136,0.6841904830932617
epoch_19,0.5496259927749634,0.5630000233650208,0.6858069707498551,0.6836237511634826
epoch_20,0.5502405166625977,0.5435000061988831,0.6857531792516708,0.6856947145462036
epoch_21,0.5502840280532837,0.5550000071525574,0.6855525395584107,0.6835262813568115
epoch_22,0.5510810017585754,0.5619999766349792,0.6852756948747635,0.6832990884780884
epoch_23,0.5515545010566711,0.5630000233650208,0.6839312961425781,0.6821855726242065
epoch_24,0.5521895289421082,0.5625,0.6834091802501678,0.681491102218628
epoch_25,0.5523819923400879,0.5544999837875366,0.683369619310379,0.6809756088256836
epoch_26,0.5526149868965149,0.559499979019165,0.6831630415334702,0.6817112679481506
epoch_27,0.552563488483429,0.5554999709129333,0.6831348585004806,0.6816924238204956
epoch_28,0.5531420111656189,0.5644999742507935,0.6829508779754638,0.6800928039550781
epoch_29,0.553525984287262,0.5644999742507935,0.6827959980726243,0.682231369972229
epoch_30,0.5539180040359497,0.5569999814033508,0.6826927521219254,0.6810984773635864
epoch_31,0.5547065138816833,0.5724999904632568,0.6825278598995209,0.6803783130645752
epoch_32,0.5550525188446045,0.5674999952316284,0.68225532147789,0.679238748550415
epoch_33,0.5551214814186096,0.5609999895095825,0.6821395198564529,0.6809929518699646
epoch_34,0.5559120178222656,0.5644999742507935,0.6819772741394043,0.6800405263900757
epoch_35,0.5563244819641113,0.5634999871253967,0.6816806400766373,0.6797725114822387
epoch_36,0.5571355223655701,0.565500020980835,0.681443988445282,0.6797356400489807
epoch_37,0.5575265288352966,0.5720000267028809,0.6813802981815338,0.6797674989700317
epoch_38,0.5575305223464966,0.5730000138282776,0.6812373757581711,0.6795368943214416
epoch_39,0.5581085085868835,0.5709999799728394,0.6810323311910629,0.6796189842224121
epoch_40,0.5585194826126099,0.5770000219345093,0.6809790767831803,0.6786492657661438
epoch_41,0.559050977230072,0.5690000057220459,0.6807614704532623,0.680642518043518
epoch_42,0.5594995021820068,0.5680000185966492,0.6805918575649261,0.680386058807373
epoch_43,0.5600370168685913,0.5699999928474426,0.6804586980361939,0.6794195165634155
epoch_44,0.5600169897079468,0.5695000290870667,0.6803856983509063,0.6800914335250855
epoch_45,0.5604234933853149,0.5674999952316284,0.6801999112882614,0.6811724214553833
epoch_46,0.5608875155448914,0.5759999752044678,0.6800927061929702,0.6800844831466675
epoch_47,0.5611975193023682,0.5699999928474426,0.6800209526233673,0.680104959487915
epoch_48,0.5614050030708313,0.5755000114440918,0.6799277887592315,0.6799308495521545
epoch_49,0.5619065165519714,0.5665000081062317,0.6797399851799011,0.6790927996635437
epoch_50,0.5615450143814087,0.5734999775886536,0.6797934765052795,0.6794069457054138
epoch_51,0.5622465014457703,0.5755000114440918,0.6796072541456223,0.679579740524292
epoch_52,0.5624539852142334,0.5709999799728394,0.6795590589561462,0.6790393114089965
epoch_53,0.5628604888916016,0.5724999904632568,0.6794535250625611,0.6787169647216796
epoch_54,0.5625100135803223,0.5730000138282776,0.6794200761079788,0.6795258574485779
epoch_55,0.5628119707107544,0.5755000114440918,0.6793665364818573,0.6802766923904419
epoch_56,0.5631244778633118,0.5730000138282776,0.679166541296959,0.6786680698394776
epoch_57,0.5633184909820557,0.5695000290870667,0.6791411980400085,0.6808921790122986
epoch_58,0.5635725259780884,0.5699999928474426,0.6788773276252746,0.6797362442016601
epoch_59,0.564191997051239,0.5774999856948853,0.6787461684951782,0.6807431039810181
epoch_60,0.5642799735069275,0.5705000162124634,0.6787371101093292,0.6791025733947754
epoch_61,0.5645484924316406,0.5705000162124634,0.6784838206272126,0.679979956626892
epoch_62,0.5651975274085999,0.5695000290870667,0.6782967354669571,0.6810078597068787
epoch_63,0.5648995041847229,0.5674999952316284,0.6781947681808471,0.6786613187789917
epoch_64,0.5659989714622498,0.5690000057220459,0.6777943589515686,0.6798163142204284
epoch_65,0.5659735202789307,0.5674999952316284,0.6776963990449906,0.6820483412742615
epoch_66,0.5664814710617065,0.5755000114440918,0.677435280008316,0.6799164881706238
epoch_67,0.5670415163040161,0.5690000057220459,0.6770499431428909,0.6795891752243042
epoch_68,0.5672820210456848,0.574999988079071,0.6769269637784958,0.6789311485290528
epoch_69,0.5678550004959106,0.5680000185966492,0.6766356677541733,0.6796086416244507
epoch_70,0.5682910084724426,0.5644999742507935,0.6763671673851013,0.6805946049690247
epoch_71,0.5685654878616333,0.5720000267028809,0.6760945405635834,0.678233437538147
epoch_72,0.5697960257530212,0.5699999928474426,0.6757289171733856,0.6803942975997925
epoch_73,0.5701035261154175,0.5680000185966492,0.6755757090673447,0.6816953439712524
epoch_74,0.5708519816398621,0.5665000081062317,0.6751207350902557,0.6805436992645264
epoch_75,0.5711985230445862,0.5649999976158142,0.6748970307321549,0.6809686660766602
epoch_76,0.5716925263404846,0.5705000162124634,0.6746964580879211,0.6784919962882996
epoch_77,0.5722625255584717,0.5619999766349792,0.6743649744138718,0.6812576780319214
epoch_78,0.5727545022964478,0.5709999799728394,0.6741412627124787,0.6798245720863342
epoch_79,0.5735555291175842,0.5659999847412109,0.6738058767786026,0.6801627497673035
epoch_80,0.5730655193328857,0.5690000057220459,0.6738075194778442,0.6810751543045044
epoch_81,0.57379549741745,0.5690000057220459,0.6733383321800231,0.6805912585258483
epoch_82,0.5736864805221558,0.5630000233650208,0.6733330101270676,0.6830554313659668
epoch_83,0.5743319988250732,0.5665000081062317,0.6728866409692764,0.6813305549621582
epoch_84,0.5746755003929138,0.5605000257492065,0.6727415126905442,0.682520673751831
epoch_85,0.5753009915351868,0.5699999928474426,0.672348466714859,0.6789503149986267
epoch_86,0.5754575133323669,0.5659999847412109,0.6721439313573837,0.6815616960525512
epoch_87,0.5758200287818909,0.5605000257492065,0.6720013507404328,0.6837985301017762
epoch_88,0.5759555101394653,0.5584999918937683,0.6718254914445877,0.6818067812919617
epoch_89,0.5766350030899048,0.5605000257492065,0.6713823025903701,0.6817266473770142
epoch_90,0.5769444704055786,0.5680000185966492,0.6712772393264771,0.6785513401031494
epoch_91,0.5775114893913269,0.5644999742507935,0.6707538481092453,0.6800119924545288
epoch_92,0.577766478061676,0.565500020980835,0.6706432280130387,0.6802095685005188
epoch_93,0.5784595012664795,0.5625,0.6703207102708817,0.6813381953239441
epoch_94,0.5785024762153625,0.5490000247955322,0.6701636703224182,0.6825153636932373
epoch_95,0.5790835022926331,0.5515000224113464,0.6697718082685471,0.6857382135391236
epoch_96,0.5799689888954163,0.5534999966621399,0.6695063729910851,0.682009729385376
epoch_97,0.579790472984314,0.5525000095367432,0.6694019405031204,0.6839303569793701
epoch_98,0.580110490322113,0.5644999742507935,0.6692552679729462,0.6795975794792175
epoch_99,0.5806729793548584,0.5550000071525574,0.6690845475816727,0.684297399520874
epoch_100,0.5804939866065979,0.5590000152587891,0.6688924914503097,0.6815062265396118
epoch_101,0.5808410048484802,0.5554999709129333,0.6685835838479995,0.6833739614486695
epoch_102,0.5810459852218628,0.5559999942779541,0.6685659457054138,0.6826774601936341
epoch_103,0.5813379883766174,0.5640000104904175,0.6684319188871384,0.6797297682762146
epoch_104,0.5815619826316833,0.5634999871253967,0.6680755619649887,0.6784928965568543
epoch_105,0.5821220278739929,0.5550000071525574,0.6681025459127427,0.6815216569900513
epoch_106,0.582640528678894,0.5580000281333923,0.6677870278091431,0.6827891874313354
epoch_107,0.5827065110206604,0.5600000023841858,0.6677344073982239,0.6815530514717102
epoch_108,0.5828179717063904,0.5625,0.6675493501319886,0.6823040237426757
epoch_109,0.5827620029449463,0.5575000047683716,0.6672960571708679,0.6806446113586426
epoch_110,0.5828225016593933,0.5575000047683716,0.667385406012535,0.6801086158752442
epoch_111,0.5832415223121643,0.5529999732971191,0.6672014436483383,0.6861654853820801
epoch_112,0.5835829973220825,0.5609999895095825,0.6670270249080658,0.6798126945495605
epoch_113,0.5835314989089966,0.5680000185966492,0.6667080105795861,0.6797040672302246
