,n_correct,accuracy,fp_rate,fn_rate
0,486,0.972,0.0,0.0
1,484,0.968,0.0003333333333333334,0.0033333333333333335
2,484,0.968,0.0006666666666666668,0.006666666666666667
3,484,0.968,0.001,0.01
4,484,0.968,0.0013333333333333335,0.013333333333333334
5,486,0.972,0.0016666666666666668,0.016666666666666666
6,485,0.97,0.002,0.02
7,488,0.976,0.0023333333333333335,0.023333333333333334
8,486,0.972,0.002666666666666667,0.02666666666666667
9,485,0.97,0.003,0.03
10,485,0.97,0.0033333333333333335,0.03333333333333333
11,484,0.968,0.003666666666666667,0.03666666666666667
12,487,0.974,0.004,0.04
13,489,0.978,0.004333333333333334,0.043333333333333335
14,484,0.968,0.004666666666666667,0.04666666666666667
15,485,0.97,0.005000000000000001,0.05
16,487,0.974,0.005333333333333334,0.05333333333333334
17,486,0.972,0.005666666666666667,0.056666666666666664
18,481,0.962,0.006,0.06
19,482,0.964,0.006333333333333334,0.06333333333333334
20,484,0.968,0.006666666666666667,0.06666666666666667
21,486,0.972,0.007000000000000001,0.07
22,483,0.966,0.007333333333333334,0.07333333333333333
23,477,0.954,0.007666666666666666,0.07666666666666666
24,483,0.966,0.008,0.08
25,483,0.966,0.008333333333333333,0.08333333333333333
26,485,0.97,0.008666666666666668,0.08666666666666667
27,487,0.974,0.009,0.09
28,485,0.97,0.009333333333333334,0.09333333333333334
29,478,0.956,0.009666666666666667,0.09666666666666666
30,485,0.97,0.010000000000000002,0.1
31,486,0.972,0.010333333333333333,0.10333333333333333
32,485,0.97,0.010666666666666668,0.10666666666666667
33,483,0.966,0.011000000000000001,0.11
34,487,0.974,0.011333333333333334,0.11333333333333333
35,483,0.966,0.011666666666666667,0.11666666666666667
36,484,0.968,0.012,0.12
37,484,0.968,0.012333333333333335,0.12333333333333334
38,478,0.956,0.012666666666666668,0.12666666666666668
39,486,0.972,0.013000000000000001,0.13
40,489,0.978,0.013333333333333334,0.13333333333333333
41,483,0.966,0.013666666666666667,0.13666666666666666
42,486,0.972,0.014000000000000002,0.14
43,483,0.966,0.014333333333333335,0.14333333333333334
44,484,0.968,0.014666666666666668,0.14666666666666667
45,484,0.968,0.015,0.15
46,482,0.964,0.015333333333333332,0.15333333333333332
47,482,0.964,0.01566666666666667,0.15666666666666668
48,485,0.97,0.016,0.16
49,489,0.978,0.016333333333333335,0.16333333333333333
50,481,0.962,0.016666666666666666,0.16666666666666666
51,483,0.966,0.017,0.17
52,483,0.966,0.017333333333333336,0.17333333333333334
53,488,0.976,0.017666666666666667,0.17666666666666667
54,481,0.962,0.018,0.18
55,481,0.962,0.018333333333333333,0.18333333333333332
56,480,0.96,0.018666666666666668,0.18666666666666668
57,481,0.962,0.019000000000000003,0.19
58,483,0.966,0.019333333333333334,0.19333333333333333
59,482,0.964,0.019666666666666666,0.19666666666666666
60,485,0.97,0.020000000000000004,0.2
61,476,0.952,0.020333333333333335,0.20333333333333334
62,483,0.966,0.020666666666666667,0.20666666666666667
63,479,0.958,0.021,0.21
64,484,0.968,0.021333333333333336,0.21333333333333335
65,480,0.96,0.021666666666666667,0.21666666666666667
66,479,0.958,0.022000000000000002,0.22
67,482,0.964,0.022333333333333334,0.22333333333333333
68,479,0.958,0.02266666666666667,0.22666666666666666
69,485,0.97,0.023000000000000003,0.23
70,483,0.966,0.023333333333333334,0.23333333333333334
71,483,0.966,0.02366666666666667,0.23666666666666666
72,480,0.96,0.024,0.24
73,483,0.966,0.024333333333333335,0.24333333333333335
74,479,0.958,0.02466666666666667,0.24666666666666667
75,483,0.966,0.025,0.25
76,480,0.96,0.025333333333333336,0.25333333333333335
77,479,0.958,0.025666666666666667,0.25666666666666665
78,480,0.96,0.026000000000000002,0.26
79,483,0.966,0.026333333333333334,0.2633333333333333
80,481,0.962,0.02666666666666667,0.26666666666666666
81,483,0.966,0.027000000000000003,0.27
82,480,0.96,0.027333333333333334,0.2733333333333333
83,486,0.972,0.02766666666666667,0.27666666666666667
84,472,0.944,0.028000000000000004,0.28
85,485,0.97,0.028333333333333335,0.2833333333333333
86,477,0.954,0.02866666666666667,0.2866666666666667
87,482,0.964,0.028999999999999998,0.29
88,483,0.966,0.029333333333333336,0.29333333333333333
89,479,0.958,0.02966666666666667,0.2966666666666667
90,475,0.95,0.03,0.3
91,482,0.964,0.030333333333333337,0.30333333333333334
92,481,0.962,0.030666666666666665,0.30666666666666664
93,476,0.952,0.031,0.31
94,479,0.958,0.03133333333333334,0.31333333333333335
95,480,0.96,0.03166666666666667,0.31666666666666665
96,480,0.96,0.032,0.32
97,480,0.96,0.03233333333333333,0.3233333333333333
98,478,0.956,0.03266666666666667,0.32666666666666666
99,482,0.964,0.033,0.33
100,478,0.956,0.03333333333333333,0.3333333333333333
